thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.013945100014097989,0.030951599997933954,0.030951599997933954,1.10442210000474,space,1.0551544000045396,None,,,,,,,,,,,,,,participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
0,0,0,[-0.078],[0.407],[1],[0],[0],[1.4577791999909095],['target'],0,0,0,0,1.146761999989394,,,,,,,,,10,1.124227599997539,1.146761999989394,1.146761999989394,0.01979849999770522,2.582074099977035,[-0.078],[0.407],[1],[0],[0],[1.4577791999909095],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
1,0,1,[0.262],[-0.201],[1],[0],[0],[1.3433980999980122],['target'],1,0,1,0,2.597506100020837,,,,,,,,,5,2.5903897999669425,2.597506100020837,2.597506100020837,0.008068599971011281,3.933895099966321,[0.262],[-0.201],[1],[0],[0],[1.3433980999980122],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
2,0,2,[0.211],[0.24],[1],[0],[0],[1.0546522000222467],['target'],2,0,2,0,3.963720400002785,,,,,,,,,5,3.9454635999863967,3.963720400002785,3.963720400002785,0.011375600006431341,5.000193000014406,[0.211],[0.24],[1],[0],[0],[1.0546522000222467],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
3,0,3,[-0.316],[-0.301],[1],[0],[0],[1.432511200022418],['target'],3,0,3,0,5.030300699989311,,,,,,,,,10,5.016234999988228,5.030300699989311,5.030300699989311,0.015897200035396963,6.448825999977998,[-0.316],[-0.301],[1],[0],[0],[1.432511200022418],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
4,0,4,[-0.452],[-0.383],[1],[0],[0],[1.3517380999983288],['target'],4,0,4,0,6.480204999970738,,,,,,,,,10,6.464433400018606,6.480204999970738,6.480204999970738,0.01544440002180636,7.816247400012799,[-0.452],[-0.383],[1],[0],[0],[1.3517380999983288],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
5,0,5,[-0.032],[0.448],[1],[0],[0],[3.6804198999889195],['target'],5,0,5,0,7.84661359997699,,,,,,,,,10,7.836299800022971,7.84661359997699,7.84661359997699,0.01991119998274371,11.516844499972649,[-0.032],[0.448],[1],[0],[0],[3.6804198999889195],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
6,0,6,[0.414],[0.459],[1],[0],[0],[3.045769400021527],['target'],6,0,6,0,11.546900400018785,,,,,,,,,10,11.53660689998651,11.546900400018785,11.546900400018785,0.019446899998001754,14.582432799972594,[0.414],[0.459],[1],[0],[0],[3.045769400021527],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
7,0,7,[-0.209],[-0.146],[1],[0],[0],[1.2981757000088692],['target'],7,0,7,0,14.61365559999831,,,,,,,,,10,14.60164020000957,14.61365559999831,14.61365559999831,0.0190934999845922,15.899893399968278,[-0.209],[-0.146],[1],[0],[0],[1.2981757000088692],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
8,0,8,[-0.478],[-0.209],[1],[0],[0],[1.8672777999890968],['target'],8,0,8,0,15.930214699998032,,,,,,,,,10,15.916792800009716,15.930214699998032,15.930214699998032,0.016720800020266324,17.78419879998546,[-0.478],[-0.209],[1],[0],[0],[1.8672777999890968],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
9,0,9,[0.446],[0.145],[1],[0],[0],[1.9467887000064366],['target'],9,0,9,0,17.813985500019044,,,,,,,,,10,17.80289360001916,17.813985500019044,17.813985500019044,0.018431600008625537,19.749756900011562,[0.446],[0.145],[1],[0],[0],[1.9467887000064366],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
10,0,10,[0.398],[-0.31],[1],[0],[0],[1.3229050999507308],['target'],10,0,10,0,19.780615199997555,,,,,,,,,5,19.758958899998106,19.780615199997555,19.780615199997555,0.009018699987791479,21.081911400018726,[0.398],[-0.31],[1],[0],[0],[1.3229050999507308],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
11,0,11,[0.27],[0.069],[1],[0],[0],[1.3164885000442155],['target'],11,0,11,0,21.11351699999068,,,,,,,,,10,21.099846999975853,21.11351699999068,21.11351699999068,0.01786810002522543,22.416442100016866,[0.27],[0.069],[1],[0],[0],[1.3164885000442155],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
12,0,12,[-0.302],[-0.087],[1],[0],[0],[1.6154269999824464],['target'],12,0,12,0,22.446867699967697,,,,,,,,,10,22.434173699992243,22.446867699967697,22.446867699967697,0.017470099963247776,24.049703299999237,[-0.302],[-0.087],[1],[0],[0],[1.6154269999824464],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
13,0,13,[0.102],[0.196],[1],[0],[0],[1.4992036999901757],['target'],13,0,13,0,24.08025009999983,,,,,,,,,10,24.068214599974453,24.08025009999983,24.08025009999983,0.018270100001245737,25.567517999967095,[0.102],[0.196],[1],[0],[0],[1.4992036999901757],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
14,0,14,[-0.312],[0.336],[1],[0],[0],[1.7985437999595888],['target'],14,0,14,0,25.5969150000019,,,,,,,,,10,25.5848537000129,25.5969150000019,25.5969150000019,0.017105899984017015,27.38346719997935,[-0.312],[0.336],[1],[0],[0],[1.7985437999595888],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
15,0,15,[0.374],[-0.263],[1],[0],[0],[1.8751994000049308],['target'],15,0,15,0,27.413893399992958,,,,,,,,,5,27.391774700023234,27.413893399992958,27.413893399992958,0.008165000006556511,29.26707719999831,[0.374],[-0.263],[1],[0],[0],[1.8751994000049308],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
16,0,16,[-0.262],[-0.339],[1],[0],[0],[1.706455699983053],['target'],16,0,16,0,29.29731210001046,,,,,,,,,5,29.27557599998545,29.29731210001046,29.29731210001046,0.008326800016220659,30.982077699969523,[-0.262],[-0.339],[1],[0],[0],[1.706455699983053],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
17,0,17,[0.427],[-0.286],[1],[0],[0],[1.644150100008119],['target'],17,0,17,0,30.997360099980142,,,,,,,,,5,30.98978940001689,30.997360099980142,30.997360099980142,0.00763619999634102,32.63404089998221,[0.427],[-0.286],[1],[0],[0],[1.644150100008119],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
18,0,18,[0.109],[-0.013],[1],[0],[0],[1.1732331999810413],['target'],18,0,18,0,32.66338390001329,,,,,,,,,5,32.64379210001789,32.66338390001329,32.66338390001329,0.009553999989293516,33.81712469999911,[0.109],[-0.013],[1],[0],[0],[1.1732331999810413],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
19,0,19,[0.143],[0.252],[1],[0],[0],[1.342011899978388],['target'],19,0,19,0,33.896769499988295,,,,,,,,,10,33.874030100007076,33.896769499988295,33.896769499988295,0.05670199997257441,35.21610309998505,[0.143],[0.252],[1],[0],[0],[1.342011899978388],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
20,0,20,[-0.26],[-0.254],[1],[0],[0],[1.2091826999676414],['target'],20,0,20,0,35.23051869997289,,,,,,,,,5,35.22447969997302,35.23051869997289,35.23051869997289,0.008218200004193932,36.43374870001571,[-0.26],[-0.254],[1],[0],[0],[1.2091826999676414],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
21,0,21,[-0.175],[0.437],[1],[0],[0],[1.6966207000077702],['target'],21,0,21,0,36.464128499967046,,,,,,,,,10,36.45213240000885,36.464128499967046,36.464128499967046,0.01822379999794066,38.14884029998211,[-0.175],[0.437],[1],[0],[0],[1.6966207000077702],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
22,0,22,[-0.18],[-0.212],[1],[0],[0],[1.3266492999973707],['target'],22,0,22,0,38.164280999975745,,,,,,,,,5,38.15751240000827,38.164280999975745,38.164280999975745,0.008490699983667582,39.48429340001894,[-0.18],[-0.212],[1],[0],[0],[1.3266492999973707],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
23,0,23,[0.203],[-0.314],[1],[0],[0],[1.2880784000153653],['target'],23,0,23,0,39.51360519998707,,,,,,,,,5,39.49524839996593,39.51360519998707,39.51360519998707,0.010737399978097528,40.78341299999738,[0.203],[-0.314],[1],[0],[0],[1.2880784000153653],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
24,0,24,[-0.087],[-0.09],[1],[0],[0],[1.5557852999772877],['target'],24,0,24,0,40.81358529999852,,,,,,,,,5,40.793068400002085,40.81358529999852,40.81358529999852,0.009488499956205487,42.34891709999647,[-0.087],[-0.09],[1],[0],[0],[1.5557852999772877],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
25,0,25,[0.143],[-0.412],[1],[0],[0],[1.70754550001584],['target'],25,0,25,0,42.38000000000466,,,,,,,,,5,42.3596230999683,42.38000000000466,42.38000000000466,0.010610900004394352,44.06725819996791,[0.143],[-0.412],[1],[0],[0],[1.70754550001584],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
26,0,26,[-0.025],[-0.334],[1],[0],[0],[1.397581099998206],['target'],26,0,26,0,44.09682709997287,,,,,,,,,10,44.083992499974556,44.09682709997287,44.09682709997287,0.016561899974476546,45.48163840000052,[-0.025],[-0.334],[1],[0],[0],[1.397581099998206],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
27,0,27,[0.265],[0.045],[1],[0],[0],[1.4090053999680094],['target'],27,0,27,0,45.497379400010686,,,,,,,,,5,45.4898987999768,45.497379400010686,45.497379400010686,0.008115299977362156,46.89896379999118,[0.265],[0.045],[1],[0],[0],[1.4090053999680094],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
28,0,28,[-0.35],[0.448],[1],[0],[0],[1.9342393999686465],['target'],28,0,28,0,46.92972179997014,,,,,,,,,10,46.91612690000329,46.92972179997014,46.92972179997014,0.01706799998646602,48.850444599986076,[-0.35],[0.448],[1],[0],[0],[1.9342393999686465],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
29,0,29,[-0.039],[-0.38],[1],[0],[0],[2.131853399972897],['target'],29,0,29,0,48.88040580000961,,,,,,,,,10,48.86685290001333,48.88040580000961,48.88040580000961,0.016225299972575158,50.998816500010435,[-0.039],[-0.38],[1],[0],[0],[2.131853399972897],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
30,0,30,[0.028],[-0.281],[1],[0],[0],[1.0575490000192076],['target'],30,0,30,0,51.03000949998386,,,,,,,,,5,51.0101382000139,51.03000949998386,51.03000949998386,0.011084800004027784,52.06780770001933,[0.028],[-0.281],[1],[0],[0],[1.0575490000192076],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
31,0,31,[0.223],[-0.426],[1],[0],[0],[1.2708099000155926],['target'],31,0,31,0,52.09683880000375,,,,,,,,,5,52.07780540001113,52.09683880000375,52.09683880000375,0.009746499999891967,53.34866989997681,[0.223],[-0.426],[1],[0],[0],[1.2708099000155926],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
32,0,32,[0.044],[0.121],[1],[0],[0],[1.233491899969522],['target'],32,0,32,0,53.37990990001708,,,,,,,,,10,53.36655580002116,53.37990990001708,53.37990990001708,0.01781009999103844,54.6001333000022,[0.044],[0.121],[1],[0],[0],[1.233491899969522],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
33,0,33,[-0.49],[0.345],[1],[0],[0],[1.4219198999926448],['target'],33,0,33,0,54.6298060999834,,,,,,,,,5,54.61021229997277,54.6298060999834,54.6298060999834,0.009866799984592944,56.032209799974225,[-0.49],[0.345],[1],[0],[0],[1.4219198999926448],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
34,0,34,[0.234],[-0.193],[1],[0],[0],[1.733747799997218],['target'],34,0,34,0,56.06308970000828,,,,,,,,,10,56.0498739000177,56.06308970000828,56.06308970000828,0.017522700014524162,57.78371430002153,[0.234],[-0.193],[1],[0],[0],[1.733747799997218],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
35,0,35,[0.099],[0.41],[1],[0],[0],[1.3963336000451818],['target'],35,0,35,0,57.813169199973345,,,,,,,,,10,57.802863500022795,57.813169199973345,57.813169199973345,0.018957599997520447,59.19929119996959,[0.099],[0.41],[1],[0],[0],[1.3963336000451818],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
36,0,36,[0.193],[-0.383],[1],[0],[0],[1.6418088999926113],['target'],36,0,36,0,59.21391809999477,,,,,,,,,5,59.207710699993186,59.21391809999477,59.21391809999477,0.008268700039479882,60.84959689999232,[0.193],[-0.383],[1],[0],[0],[1.6418088999926113],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
37,0,37,[-0.074],[-0.288],[1],[0],[0],[1.325136300001759],['target'],37,0,37,0,60.88042780000251,,,,,,,,,5,60.85803990002023,60.88042780000251,60.88042780000251,0.008299399982206523,62.18324360001134,[-0.074],[-0.288],[1],[0],[0],[1.325136300001759],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
38,0,38,[0.382],[0.402],[1],[0],[0],[1.3570864999783225],['target'],38,0,38,0,62.213600100018084,,,,,,,,,5,62.19242089998443,62.213600100018084,62.213600100018084,0.009044200007338077,63.54962279996835,[0.382],[0.402],[1],[0],[0],[1.3570864999783225],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
39,0,39,[-0.226],[-0.037],[1],[0],[0],[1.4820827000075951],['target'],39,0,39,0,63.579759799991734,,,,,,,,,10,63.567479000019375,63.579759799991734,63.579759799991734,0.017643500003032386,65.04962850001175,[-0.226],[-0.037],[1],[0],[0],[1.4820827000075951],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
40,0,40,[0.036],[0.36],[1],[0],[0],[1.3985366999986582],['target'],40,0,40,0,65.07953639997868,,,,,,,,,10,65.06767439999385,65.07953639997868,65.07953639997868,0.017893599986564368,66.46629449998727,[0.036],[0.36],[1],[0],[0],[1.3985366999986582],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
41,0,41,[-0.096],[0.116],[1],[0],[0],[1.483389700006228],['target'],41,0,41,0,66.49652139999671,,,,,,,,,5,66.48155720002251,66.49652139999671,66.49652139999671,0.01511229999596253,67.96499499998754,[-0.096],[0.116],[1],[0],[0],[1.483389700006228],['target'],participant 5,001,2025-09-30_23h49.19.646,visual_search,,2025.1.1,59.9750144142387,2025-09-30 23h49.28.355428 +0530,
