condition,cue_x,cue_y,target_x,target_y,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,key_resp.keys,key_resp.rt,key_resp.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,practice.started,fixation_2.started,Left_rect_2.started,Right_rect_2.started,cue_2.started,cue_2.stopped,target_2.started,key_resp_3.started,practice.stopped,trials_2.key_resp_3.keys,trials_2.key_resp_3.rt,trials_2.key_resp_3.duration,fixation_2.stopped,Left_rect_2.stopped,Right_rect_2.stopped,target_2.stopped,key_resp_3.stopped,instructions_2.started,text_3.started,key_resp_4.started,instructions_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,fixation.started,Left_rect.started,Right_rect.started,cue.started,cue.stopped,target.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,blank.started,text_2.started,text_2.stopped,blank.stopped,fixation.stopped,Left_rect.stopped,Right_rect.stopped,target.stopped,key_resp.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,0.0028440000023692846,0.007165900009567849,0.007165900009567849,16.60380399999849,space,16.579242399995564,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-11-21_18h09.43.917,solo_project,,2025.1.1,59.961564634092184,2025-11-21 18h09.56.773523 +0530,
invalid_diff,-0.168,0.175,0.168,0.149,0,0,0,up,0.8810528999892995,None,,,,0,0,0,6,,,,,16.625015800003894,,,,,,,,,16.61903020000318,16.625015800003894,17.611557600001106,17.611557600001106,17.611557600001106,17.711359300010372,17.911381300000357,17.911381300000357,18.79551419999916,up,0.8810528999892995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-11-21_18h09.43.917,solo_project,,2025.1.1,59.961564634092184,2025-11-21 18h09.56.773523 +0530,
valid,-0.168,-0.175,-0.168,-0.149,1,1,0,up,0.6178842000081204,None,,,,0,1,1,1,,,,,18.811517499998445,,,,,,,,,18.79624550000881,18.811517499998445,19.795022899998003,19.795022899998003,19.795022899998003,19.894867900002282,20.095128300003125,20.095128300003125,20.728834599998663,up,0.6178842000081204,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-11-21_18h09.43.917,solo_project,,2025.1.1,59.961564634092184,2025-11-21 18h09.56.773523 +0530,
invalid_same,-0.168,-0.175,-0.168,0.149,2,2,0,up,0.5222245000040857,None,,,,0,2,2,5,,,,,20.744771900004707,,,,,,,,,20.729625799998757,20.744771900004707,21.72820490000595,21.72820490000595,21.72820490000595,21.82815169999958,22.02826420000929,22.02826420000929,22.562397100002272,up,0.5222245000040857,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-11-21_18h09.43.917,solo_project,,2025.1.1,59.961564634092184,2025-11-21 18h09.56.773523 +0530,
catch,-0.168,-0.175,None,None,3,3,0,None,,,,,,0,3,3,9,,,,,22.578100800004904,,,,,,,,,22.563581200010958,22.578100800004904,23.57806630000414,23.57806630000414,23.57806630000414,23.677817200004938,23.87792100000661,23.87792100000661,25.861969400008093,None,,,25.861484000008204,25.861484000008204,25.861484000008204,25.878039500006707,25.878039500006707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-11-21_18h09.43.917,solo_project,,2025.1.1,59.961564634092184,2025-11-21 18h09.56.773523 +0530,
invalid_same,-0.168,0.175,-0.168,-0.149,4,4,0,up,0.4484366999968188,None,,,,0,4,4,4,,,,,25.878039500006707,,,,,,,,,25.862658900005044,25.878039500006707,26.86160460000974,26.86160460000974,26.86160460000974,26.96164230001159,27.161713900000905,27.161713900000905,27.612310700002126,up,0.4484366999968188,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-11-21_18h09.43.917,solo_project,,2025.1.1,59.961564634092184,2025-11-21 18h09.56.773523 +0530,
invalid_diff,-0.168,-0.175,0.168,-0.149,5,5,0,up,0.485162400000263,None,,,,0,5,5,7,,,,,27.628262600002927,,,,,,,,,27.613023099998827,27.628262600002927,28.611773900003755,28.611773900003755,28.611773900003755,28.71152160000929,28.911551400000462,28.911551400000462,29.412325500001316,up,0.485162400000263,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-11-21_18h09.43.917,solo_project,,2025.1.1,59.961564634092184,2025-11-21 18h09.56.773523 +0530,
valid,-0.168,0.175,-0.168,0.149,6,6,0,up,0.4676545999973314,None,,,,0,6,6,0,,,,,29.42817910001031,,,,,,,,,29.413012600009097,29.42817910001031,30.42793810000876,30.42793810000876,30.42793810000876,30.52791060000891,30.711692500000936,30.711692500000936,31.195583400010946,up,0.4676545999973314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-11-21_18h09.43.917,solo_project,,2025.1.1,59.961564634092184,2025-11-21 18h09.56.773523 +0530,
catch,-0.168,0.175,None,None,7,7,0,None,,,,,,0,7,7,8,,,,,31.211514399998123,,,,,,,,,31.19651480000175,31.211514399998123,32.19487669999944,32.19487669999944,32.19487669999944,32.29468040000938,32.49511880001228,32.49511880001228,34.47877270000754,None,,,34.49468190000334,34.49468190000334,34.49468190000334,34.49468190000334,34.49468190000334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-11-21_18h09.43.917,solo_project,,2025.1.1,59.961564634092184,2025-11-21 18h09.56.773523 +0530,
valid,0.168,-0.175,0.168,-0.149,8,8,0,up,0.3674399000010453,None,,,,0,8,8,3,,,,,34.49468190000334,,,,,,,,,34.47947250001016,34.49468190000334,35.51152450000518,35.51152450000518,35.51152450000518,35.61137280000548,35.81158010000945,35.81158010000945,36.19538150000153,up,0.3674399000010453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-11-21_18h09.43.917,solo_project,,2025.1.1,59.961564634092184,2025-11-21 18h09.56.773523 +0530,
valid,0.168,0.175,0.168,0.149,9,9,0,up,0.3596331000007922,None,,,,0,9,9,2,,,,,36.211364000002504,,,,,,,,,36.19628780000494,36.211364000002504,37.194914100007736,37.194914100007736,37.194914100007736,37.29501990000426,37.49504570000863,37.49504570000863,37.862232700004824,up,0.3596331000007922,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-11-21_18h09.43.917,solo_project,,2025.1.1,59.961564634092184,2025-11-21 18h09.56.773523 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.86242720000155,37.878249100001995,37.878249100001995,40.94551010000578,space,3.0599963999993633,None,,,,,,,,,,,,,,,,,,,,,,P2,001,2025-11-21_18h09.43.917,solo_project,,2025.1.1,59.961564634092184,2025-11-21 18h09.56.773523 +0530,
valid,-0.168,0.175,-0.168,0.149,0,0,0,,,,up,0.37733759998809546,None,,,,,0,0,0,12,40.975008599998546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.96840070000326,40.975008599998546,41.96119690001069,41.96119690001069,41.96119690001069,42.061224700009916,42.26127640000777,42.26127640000777,42.645498900004895,up,0.37733759998809546,None,42.64560650000931,42.66147360000468,43.16160450001189,43.145136400009505,,,,,,P2,001,2025-11-21_18h09.43.917,solo_project,,2025.1.1,59.961564634092184,2025-11-21 18h09.56.773523 +0530,
valid,-0.168,0.175,-0.168,0.149,1,1,0,,,,up,0.3499977999890689,None,,,,,0,1,1,8,43.16160450001189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.14586850001069,43.16160450001189,44.14488010000787,44.14488010000787,44.14488010000787,44.244830299998284,44.44484530000773,44.44484530000773,44.79598690000421,up,0.3499977999890689,None,44.796099900006084,44.81150210001215,45.311665100001846,45.2952770999982,,,,,,P2,001,2025-11-21_18h09.43.917,solo_project,,2025.1.1,59.961564634092184,2025-11-21 18h09.56.773523 +0530,
invalid_diff,0.168,-0.175,-0.168,-0.149,2,2,0,,,,up,0.4554937000066275,None,,,,,0,2,2,31,45.311665100001846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.296100600011414,45.311665100001846,46.31159730000945,46.31159730000945,46.31159730000945,46.411602699998184,46.611578399999416,46.611578399999416,47.07879590000084,up,0.4554937000066275,None,47.07890770000813,47.09477640000114,47.59455710000475,47.57811030000448,,,,,,P2,001,2025-11-21_18h09.43.917,solo_project,,2025.1.1,59.961564634092184,2025-11-21 18h09.56.773523 +0530,
valid,-0.168,-0.175,-0.168,-0.149,3,3,0,,,,up,0.3813422000093851,None,,,,,0,3,3,17,47.59455710000475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.57874740000989,47.59455710000475,48.57811899999797,48.57811899999797,48.57811899999797,48.677880600007484,48.878161700005876,48.878161700005876,49.26274540000304,up,0.3813422000093851,None,49.262872400009655,49.277927400005865,49.7781088000047,49.76180030000978,,,,,,P2,001,2025-11-21_18h09.43.917,solo_project,,2025.1.1,59.961564634092184,2025-11-21 18h09.56.773523 +0530,
catch,-0.168,-0.175,None,None,4,4,0,,,,None,,,,,,,0,4,4,33,49.7781088000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.76277960000152,49.7781088000047,50.77808060000825,50.77808060000825,50.77808060000825,50.87809510000807,51.077991300000576,51.077991300000576,53.0621167000063,None,,,53.06220369999937,53.07785130001139,53.57791000000725,53.56158439999854,53.07785130001139,53.07785130001139,53.07785130001139,53.07785130001139,53.07785130001139,P2,001,2025-11-21_18h09.43.917,solo_project,,2025.1.1,59.961564634092184,2025-11-21 18h09.56.773523 +0530,
valid,0.168,-0.175,0.168,-0.149,5,5,0,,,,up,0.34517509999568574,None,,,,,0,5,5,11,53.57791000000725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.56237189999956,53.57791000000725,54.57803220000642,54.57803220000642,54.57803220000642,54.67802780000784,54.87810990000435,54.87810990000435,55.228735299999244,up,0.34517509999568574,None,55.228851600011694,55.24488650000421,55.74487229999795,55.728424800006906,,,,,,P2,001,2025-11-21_18h09.43.917,solo_project,,2025.1.1,59.961564634092184,2025-11-21 18h09.56.773523 +0530,
valid,0.168,0.175,0.168,0.149,6,6,0,,,,up,0.33928190000006,None,,,,,0,6,6,14,55.74487229999795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.729160700007924,55.74487229999795,56.728036300002714,56.728036300002714,56.728036300002714,56.82801019999897,57.02807280000707,57.02807280000707,57.37878740001179,up,0.33928190000006,None,57.378900600000634,57.39460450000479,57.89520930001163,57.878481899999315,,,,,,P2,001,2025-11-21_18h09.43.917,solo_project,,2025.1.1,59.961564634092184,2025-11-21 18h09.56.773523 +0530,
valid,0.168,-0.175,0.168,-0.149,7,7,0,,,,up,0.35127930001181085,None,,,,,0,7,7,23,57.89520930001163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.879206800003885,57.89520930001163,58.87798030000704,58.87798030000704,58.87798030000704,58.97803810000187,59.17810630000895,59.17810630000895,59.54534209999838,up,0.35127930001181085,None,59.54550069999823,59.561215100009576,60.061167600011686,60.04489790000662,,,,,,P2,001,2025-11-21_18h09.43.917,solo_project,,2025.1.1,59.961564634092184,2025-11-21 18h09.56.773523 +0530,
valid,-0.168,0.175,-0.168,0.149,8,8,0,,,,up,0.3007306000072276,None,,,,,0,8,8,20,60.061167600011686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.04552770000009,60.061167600011686,61.044892500009155,61.044892500009155,61.044892500009155,61.14477480000642,61.34493980000843,61.34493980000843,61.66198879999865,up,0.3007306000072276,None,61.662112600010005,61.67804260000412,62.17802840001241,62.161530800003675,,,,,,P2,001,2025-11-21_18h09.43.917,solo_project,,2025.1.1,59.961564634092184,2025-11-21 18h09.56.773523 +0530,
valid,-0.168,-0.175,-0.168,-0.149,9,9,0,,,,up,0.3968726000020979,None,,,,,0,9,9,21,62.17802840001241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.16225990001112,62.17802840001241,63.16144650000206,63.16144650000206,63.16144650000206,63.261369300002116,63.4614653000026,63.4614653000026,63.86209160000726,up,0.3968726000020979,None,63.86220550000144,63.87813989999995,64.37807630001043,64.36180700000841,,,,,,P2,001,2025-11-21_18h09.43.917,solo_project,,2025.1.1,59.961564634092184,2025-11-21 18h09.56.773523 +0530,
valid,-0.168,0.175,-0.168,0.149,10,10,0,,,,up,0.1886506000009831,None,,,,,0,10,10,0,64.37807630001043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.36260100000072,64.37807630001043,65.36136170000827,65.36136170000827,65.36136170000827,65.46111720000044,65.6610503999982,65.6610503999982,65.86164640000788,up,0.1886506000009831,None,65.86174770000798,65.87786490000144,66.37804550000874,66.36125760000141,,,,,,P2,001,2025-11-21_18h09.43.917,solo_project,,2025.1.1,59.961564634092184,2025-11-21 18h09.56.773523 +0530,
