condition,cue_x,cue_y,target_x,target_y,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,key_resp.keys,key_resp.rt,key_resp.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,practice.started,fixation_2.started,Left_rect_2.started,Right_rect_2.started,cue_2.started,cue_2.stopped,target_2.started,key_resp_3.started,practice.stopped,trials_2.key_resp_3.keys,trials_2.key_resp_3.rt,trials_2.key_resp_3.duration,fixation_2.stopped,Left_rect_2.stopped,Right_rect_2.stopped,target_2.stopped,key_resp_3.stopped,instructions_2.started,text_3.started,key_resp_4.started,instructions_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,fixation.started,Left_rect.started,Right_rect.started,cue.started,cue.stopped,target.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,blank.started,text_2.started,text_2.stopped,blank.stopped,fixation.stopped,Left_rect.stopped,Right_rect.stopped,target.stopped,key_resp.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
catch,-0.168,-0.175,None,None,9,9,0,None,,,,,,0,9,9,9,,,,,21.229660900018644,,,,,,,,,21.21474720002152,21.229660900018644,21.229660900018644,21.229660900018644,22.213374600047246,22.3132723000017,22.513216999999713,22.513216999999713,24.497002299991436,None,,,24.51335660001496,24.51335660001496,24.51335660001496,24.51335660001496,24.51335660001496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4971729000099,24.51335660001496,24.51335660001496,27.22981760004768,space,2.704920799995307,None,,,,,,,,,,,,,,,,,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,0.168,-0.175,0.168,-0.149,0,0,0,,,,up,0.8525370000279509,None,,,,,0,0,0,15,27.246266300033312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.237251700018533,27.246266300033312,27.246266300033312,27.246266300033312,28.22963549999986,28.329648900020402,28.529646300012246,28.529646300012246,29.397129599994514,up,0.8525370000279509,None,29.39724419999402,29.41316600004211,29.91334100003587,29.897093700012192,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
catch,0.168,-0.175,None,None,1,1,0,,,,None,,,,,,,0,1,1,35,29.91334100003587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.898181000025943,29.91334100003587,29.91334100003587,29.91334100003587,30.896398600016255,30.996502500027418,31.19634570000926,31.19634570000926,33.18056030001026,None,,,33.18069840001408,33.19626120000612,33.69642480002949,33.680015599995386,33.19626120000612,33.19626120000612,33.19626120000612,33.19626120000612,33.19626120000612,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
invalid_same,0.168,-0.175,0.168,0.149,2,2,0,,,,up,0.6225052999798208,None,,,,,0,2,2,27,33.69642480002949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.680651400005445,33.69642480002949,33.69642480002949,33.69642480002949,34.69641199999023,34.79652640002314,34.996326700027566,34.996326700027566,35.630165600043256,up,0.6225052999798208,None,35.63024369999766,35.646407500025816,36.14635960001033,36.129971600021236,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
invalid_diff,-0.168,0.175,0.168,0.149,3,3,0,,,,up,0.41178619995480403,None,,,,,0,3,3,28,36.14635960001033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.13043270003982,36.14635960001033,36.14635960001033,36.14635960001033,37.129713400034234,37.229671100038104,37.42981380003039,37.42981380003039,37.8478604000411,up,0.41178619995480403,None,37.848045099992305,37.863331700034905,38.36306560004596,38.346389700018335,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,0.168,-0.175,0.168,-0.149,4,4,0,,,,up,0.4771403000340797,None,,,,,0,4,4,3,38.36306560004596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3474159000325,38.36306560004596,38.36306560004596,38.36306560004596,39.363227599998936,39.463234000024386,39.66336840001168,39.66336840001168,40.146346000023186,up,0.4771403000340797,None,40.14639910002006,40.16266730002826,,40.64648420002777,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
invalid_diff,0.168,-0.175,-0.168,-0.149,5,5,0,,,,up,0.4113082000403665,None,,,,,0,5,5,31,40.66327290004119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.64719129999867,40.66327290004119,40.66327290004119,40.66327290004119,41.64626569999382,41.74631360004423,41.94647950003855,41.94647950003855,42.36385960003827,up,0.4113082000403665,None,42.363982400042005,42.379655900003854,42.87955300003523,42.86374950001482,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,0.168,0.175,0.168,0.149,6,6,0,,,,up,0.49016829999163747,None,,,,,0,6,6,22,42.87955300003523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.86481040000217,42.87955300003523,42.87955300003523,42.87955300003523,43.86341150000226,43.962896000011824,44.17973740003072,44.17973740003072,44.680928400019184,up,0.49016829999163747,None,44.68108140002005,44.69639980001375,45.19649010000285,45.17988830001559,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
invalid_same,-0.168,0.175,-0.168,-0.149,7,7,0,,,,up,0.38603739999234676,None,,,,,0,7,7,24,45.19649010000285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.18059220002033,45.19649010000285,45.19649010000285,45.19649010000285,46.1962949000299,46.29640550003387,46.49651610001456,46.49651610001456,46.89684560004389,up,0.38603739999234676,None,46.89694980002241,46.912833100010175,47.41303870000411,47.39689880004153,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,-0.168,-0.175,-0.168,-0.149,8,8,0,,,,up,0.34644110000226647,None,,,,,0,8,8,1,47.41303870000411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.39780500001507,47.41303870000411,47.41303870000411,47.41303870000411,48.3964329000446,48.49642939999467,48.69661680003628,48.69661680003628,49.04773019999266,up,0.34644110000226647,None,49.04791780002415,49.063022700021975,49.563404000015,49.5469239000231,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,-0.168,0.175,-0.168,0.149,9,9,0,,,,up,0.3854797999956645,None,,,,,0,9,9,0,49.563404000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.54800890001934,49.563404000015,49.563404000015,49.563404000015,50.56329720001668,50.66326320002554,50.863269400026184,50.863269400026184,51.26409340003738,up,0.3854797999956645,None,51.264210399996955,51.279632700025104,51.77968350000447,51.76321609999286,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,-0.168,0.175,-0.168,0.149,10,10,0,,,,up,0.2822892999975011,None,,,,,0,10,10,8,51.77968350000447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.763715900015086,51.77968350000447,51.77968350000447,51.77968350000447,52.77956550003728,52.87947540002642,53.0796388000017,53.0796388000017,53.363675000029616,up,0.2822892999975011,None,53.36377910000738,53.37960069999099,53.87966289999895,53.864164100028574,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,0.168,0.175,0.168,0.149,11,11,0,,,,up,0.29450730001553893,None,,,,,0,11,11,2,53.87966289999895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.86516710004071,53.87966289999895,53.87966289999895,53.87966289999895,54.863133100036066,54.96324730000924,55.162975100043695,55.162975100043695,55.464729900006205,up,0.29450730001553893,None,55.4648761000135,55.479510300036054,55.979595500044525,55.96370389999356,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
catch,-0.168,0.175,None,None,12,12,0,,,,None,,,,,,,0,12,12,32,55.979595500044525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.964852900011465,55.979595500044525,55.979595500044525,55.979595500044525,56.97970359999454,57.07968260004418,57.2796498000389,57.2796498000389,59.26360860001296,None,,,59.26368830003776,59.27937920001568,59.77958170004422,59.76321080001071,59.27937920001568,59.27937920001568,59.27937920001568,59.27937920001568,59.27937920001568,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,-0.168,-0.175,-0.168,-0.149,13,13,0,,,,up,0.3396861999644898,None,,,,,0,13,13,9,59.77958170004422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.76369200000772,59.77958170004422,59.77958170004422,59.77958170004422,60.77959320001537,60.87939290003851,61.07930750004016,61.07930750004016,61.429802700004075,up,0.3396861999644898,None,61.42985200003022,61.44610699999612,61.946200100006536,61.930016600003,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,0.168,0.175,0.168,0.149,14,14,0,,,,up,0.32696259999647737,None,,,,,0,14,14,10,61.946200100006536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.930988600011915,61.946200100006536,61.946200100006536,61.946200100006536,62.92950349999592,63.02943100000266,63.22965779999504,63.22965779999504,63.56400340003893,up,0.32696259999647737,None,63.564193800033536,63.57941450004,64.07944070000667,64.06318310002098,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,-0.168,0.175,-0.168,0.149,15,15,0,,,,up,0.33366649999516085,None,,,,,0,15,15,20,64.07944070000667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.06364950002171,64.07944070000667,64.07944070000667,64.07944070000667,65.07958469999721,65.17957770003704,65.37955100002,65.37955100002,65.71360560000176,up,0.33366649999516085,None,65.71369080001023,65.72931470000185,66.22944640001515,66.21347970003262,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,-0.168,-0.175,-0.168,-0.149,16,16,0,,,,up,0.4023552999715321,None,,,,,0,16,16,17,66.22944640001515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.21475350001128,66.22944640001515,66.22944640001515,66.22944640001515,67.21301900001708,67.31312220002292,67.51321500004269,67.51321500004269,67.93045610003173,up,0.4023552999715321,None,67.93063760001678,67.94608730002074,68.44636600004742,68.42997759999707,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
invalid_same,-0.168,-0.175,-0.168,0.149,17,17,0,,,,up,0.4186984999687411,None,,,,,0,17,17,25,68.44636600004742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.43092200002866,68.44636600004742,68.44636600004742,68.44636600004742,69.42959499999415,69.52953860000707,69.72972830000799,69.72972830000799,70.16425180004444,up,0.4186984999687411,None,70.16440970002441,70.17962910002097,70.67953419999685,70.66323500004364,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,-0.168,-0.175,-0.168,-0.149,18,18,0,,,,up,0.3003853000118397,None,,,,,0,18,18,13,70.67953419999685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.66369730001315,70.67953419999685,70.67953419999685,70.67953419999685,71.67939699999988,71.77948500000639,71.9794856000226,71.9794856000226,72.29661499999929,up,0.3003853000118397,None,72.29666210000869,72.3128700000234,72.81286840001121,72.79646370001137,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,-0.168,0.175,-0.168,0.149,19,19,0,,,,up,0.3676489000208676,None,,,,,0,19,19,12,72.81286840001121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.79684610001277,72.81286840001121,72.81286840001121,72.81286840001121,73.79635690001305,73.89627180004027,74.09631019999506,74.09631019999506,74.48014810000313,up,0.3676489000208676,None,74.48025650001364,74.49631010001758,74.99620829999913,74.98040719999699,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
catch,-0.168,-0.175,None,None,20,20,0,,,,None,,,,,,,0,20,20,33,74.99620829999913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.98148810002021,74.99620829999913,74.99620829999913,74.99620829999913,75.97950690001016,76.07953630003612,76.27954100002535,76.27954100002535,78.26438810001127,None,,,78.26451400003862,78.27927220001584,78.77939149999293,78.7630199000123,78.27927220001584,78.27927220001584,78.27927220001584,78.27927220001584,78.27927220001584,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,-0.168,0.175,-0.168,0.149,21,21,0,,,,up,0.32362219999777153,None,,,,,0,21,21,4,78.77939149999293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.76328980003018,78.77939149999293,78.77939149999293,78.77939149999293,79.77956300001824,79.8795290000271,80.0795480000088,80.0795480000088,80.41369380004471,up,0.32362219999777153,None,80.4138069000328,80.42942420003237,80.92940480000107,80.91324950003764,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,0.168,-0.175,0.168,-0.149,22,22,0,,,,up,0.3328666999586858,None,,,,,0,22,22,19,80.92940480000107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.91391870001098,80.92940480000107,80.92940480000107,80.92940480000107,81.9131945000263,82.01316750003025,82.21306959999492,82.21306959999492,82.54729499999667,up,0.3328666999586858,None,82.54746510001132,82.56295039999532,83.06281190004665,83.04730979999295,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,-0.168,0.175,-0.168,0.149,23,23,0,,,,up,0.31425840000156313,None,,,,,0,23,23,16,83.06281190004665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.04828819999238,83.06281190004665,83.06281190004665,83.06281190004665,84.06307070003822,84.16283700003987,84.36322210001526,84.36322210001526,84.68074110004818,up,0.31425840000156313,None,84.68090939999092,84.69624459999613,85.19630840001628,85.17981540004257,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,0.168,-0.175,0.168,-0.149,24,24,0,,,,up,0.3443013000069186,None,,,,,0,24,24,23,85.19630840001628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.18050449999282,85.19630840001628,85.19630840001628,85.19630840001628,86.19620880001457,86.2964287000359,86.49633480003104,86.49633480003104,86.84692670003278,up,0.3443013000069186,None,86.8470365999965,86.86304510000627,87.36288170004264,87.34714299999177,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,-0.168,-0.175,-0.168,-0.149,25,25,0,,,,up,0.43852950003929436,None,,,,,0,25,25,21,87.36288170004264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.34813560004113,87.36288170004264,87.36288170004264,87.36288170004264,88.34628830000293,88.44628490001196,88.64629410003545,88.64629410003545,89.09755840001162,up,0.43852950003929436,None,89.09772910003085,89.11272800003644,89.61293060000753,89.59621340001468,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,0.168,0.175,0.168,0.149,26,26,0,,,,up,0.3452221000334248,None,,,,,0,26,26,14,89.61293060000753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.59656940004788,89.61293060000753,89.61293060000753,89.61293060000753,90.61300640000263,90.7130174000049,90.91301910002949,90.91301910002949,91.26363729999866,up,0.3452221000334248,None,91.26374580000993,91.27941050002119,91.77942930004792,91.76324020000175,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
invalid_diff,0.168,0.175,-0.168,0.149,27,27,0,,,,up,0.3888392000226304,None,,,,,0,27,27,30,91.77942930004792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.76386020000791,91.77942930004792,91.77942930004792,91.77942930004792,92.7629001000314,92.8630717000342,93.06305810000049,93.06305810000049,93.46316790004494,up,0.3888392000226304,None,93.46323900000425,93.47946390003199,93.97957820002921,93.96342730004108,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
invalid_same,0.168,0.175,0.168,-0.149,28,28,0,,,,up,0.3609372999635525,None,,,,,0,28,28,26,93.97957820002921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.9646417000331,93.97957820002921,93.97957820002921,93.97957820002921,94.96289690001868,95.0629613000201,95.26299270003801,95.26299270003801,95.63066930003697,up,0.3609372999635525,None,95.63094150001416,95.64619920001132,96.14630730001954,96.12975090002874,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,0.168,0.175,0.168,0.149,29,29,0,,,,up,0.4018455999903381,None,,,,,0,29,29,18,96.14630730001954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.13040339999134,96.14630730001954,96.14630730001954,96.14630730001954,97.14620840002317,97.2460878000129,97.44626640004572,97.44626640004572,97.86353890004102,up,0.4018455999903381,None,97.86365170002682,97.87924249999924,98.37945700000273,98.36324390000664,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,-0.168,-0.175,-0.168,-0.149,30,30,0,,,,up,0.3449413999915123,None,,,,,0,30,30,5,98.37945700000273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.36395510000875,98.37945700000273,98.37945700000273,98.37945700000273,99.36298610002268,99.46299400000134,99.66304579999996,99.66304579999996,100.01388500002213,up,0.3449413999915123,None,100.01400800002739,100.02936430001864,100.52943789999699,100.51323040004354,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,0.168,-0.175,0.168,-0.149,31,31,0,,,,up,0.4629827000317164,None,,,,,0,31,31,11,100.52943789999699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.514115100028,100.52943789999699,100.52943789999699,100.52943789999699,101.52951050002594,101.62948590004817,101.81310020003002,101.81310020003002,102.28056480002124,up,0.4629827000317164,None,102.28076739999233,102.2961736000143,102.79644230002305,102.779725600034,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,0.168,-0.175,0.168,-0.149,32,32,0,,,,up,0.40590190002694726,None,,,,,0,32,32,7,102.79644230002305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.78039500000887,102.79644230002305,102.79644230002305,102.79644230002305,103.79624160000822,103.89622830000008,104.09631620004075,104.09631620004075,104.51370930002304,up,0.40590190002694726,None,104.5138178000343,104.52928220003378,105.02932500001043,105.01343310001539,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,0.168,0.175,0.168,0.149,33,33,0,,,,up,0.6517325000022538,None,,,,,0,33,33,6,105.02932500001043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.01456070004497,105.02932500001043,105.02932500001043,105.02932500001043,106.0294370999909,106.12939350004308,106.32932160003111,106.32932160003111,106.9974671000382,up,0.6517325000022538,None,106.99766300001647,107.01282070000889,107.51293610001449,107.49666370003251,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
