condition,cue_x,cue_y,target_x,target_y,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,key_resp.keys,key_resp.rt,key_resp.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,practice.started,fixation_2.started,Left_rect_2.started,Right_rect_2.started,cue_2.started,cue_2.stopped,target_2.started,key_resp_3.started,practice.stopped,trials_2.key_resp_3.keys,trials_2.key_resp_3.rt,trials_2.key_resp_3.duration,fixation_2.stopped,Left_rect_2.stopped,Right_rect_2.stopped,target_2.stopped,key_resp_3.stopped,instructions_2.started,text_3.started,key_resp_4.started,instructions_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,fixation.started,Left_rect.started,Right_rect.started,cue.started,cue.stopped,target.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,blank.started,text_2.started,text_2.stopped,blank.stopped,fixation.stopped,Left_rect.stopped,Right_rect.stopped,target.stopped,key_resp.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,0.002437999995891005,0.0076858000247739255,0.0076858000247739255,1.0352988000377081,space,1.0075829999987036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
invalid_same,-0.168,-0.175,-0.168,0.149,0,0,0,up,1.3077602999983355,None,,,,0,0,0,5,,,,,1.0466179000213742,,,,,,,,,1.0403243000037037,1.0466179000213742,1.0466179000213742,1.0466179000213742,2.0466248000157066,2.146680200006813,2.346605900034774,2.346605900034774,3.664064500015229,up,1.3077602999983355,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
invalid_same,-0.168,0.175,-0.168,-0.149,1,1,0,up,1.014242400007788,None,,,,0,1,1,4,,,,,3.6799616999924183,,,,,,,,,3.6647866000421345,3.6799616999924183,3.6799616999924183,3.6799616999924183,4.679862899996806,4.779804399993736,4.979815700033214,4.979815700033214,5.997807900013868,up,1.014242400007788,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
invalid_diff,-0.168,-0.175,0.168,-0.149,2,2,0,up,0.9662652999977581,None,,,,0,2,2,7,,,,,6.013183900038712,,,,,,,,,5.998438300041016,6.013183900038712,6.013183900038712,6.013183900038712,7.013502600020729,7.113553400035016,7.313419600017369,7.313419600017369,8.29699870001059,up,0.9662652999977581,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
invalid_diff,-0.168,0.175,0.168,0.149,3,3,0,up,0.7289621999952942,None,,,,0,3,3,6,,,,,8.313055200036615,,,,,,,,,8.297426600009203,8.313055200036615,8.313055200036615,8.313055200036615,9.296580300026108,9.396418899996206,9.596532099996693,9.596532099996693,10.32996570004616,up,0.7289621999952942,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,-0.168,0.175,-0.168,0.149,4,4,0,up,0.7881561999674886,None,,,,0,4,4,0,,,,,10.346298900025431,,,,,,,,,10.330285100033507,10.346298900025431,10.346298900025431,10.346298900025431,11.329738200001884,11.429958200023975,11.629828300036024,11.629828300036024,12.431317000009585,up,0.7881561999674886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,-0.168,-0.175,-0.168,-0.149,5,5,0,up,0.5689517999999225,None,,,,0,5,5,1,,,,,12.446487300039735,,,,,,,,,12.43200800003251,12.446487300039735,12.446487300039735,12.446487300039735,13.446527099993546,13.546533700020518,13.74654580000788,13.74654580000788,14.33125960000325,up,0.5689517999999225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
catch,-0.168,0.175,None,None,6,6,0,None,,,,,,0,6,6,8,,,,,14.346382700023241,,,,,,,,,14.332095400022808,14.346382700023241,14.346382700023241,14.346382700023241,15.346566900028847,15.446525100036524,15.646584300033282,15.646584300033282,17.630320199998096,None,,,17.64663830003701,17.64663830003701,17.64663830003701,17.64663830003701,17.64663830003701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,0.168,0.175,0.168,0.149,7,7,0,up,0.32558479998260736,None,,,,0,7,7,2,,,,,17.64663830003701,,,,,,,,,17.631030099990312,17.64663830003701,17.64663830003701,17.64663830003701,18.64648690004833,18.74641680001514,18.946481599996332,18.946481599996332,19.280470700003207,up,0.32558479998260736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
valid,0.168,-0.175,0.168,-0.149,8,8,0,up,0.6305063999607228,None,,,,0,8,8,3,,,,,19.296632200013846,,,,,,,,,19.281122900021728,19.296632200013846,19.296632200013846,19.296632200013846,20.279771500034258,20.379790400038473,20.579830100003164,20.579830100003164,21.21381460002158,up,0.6305063999607228,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P6,001,2025-11-24_21h07.51.089,solo_project,,2025.1.1,59.99016162936751,2025-11-24 21h07.57.482185 +0530,
