reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text_2.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.009895100258290768,0.02802820038050413,0.02802820038050413,7.838358700275421,space,7.799022600054741,None,,,,,,,,,,participant 3,001,2025-11-06_21h05.27.843,delay_discounting,,2025.1.1,59.96656250183688,2025-11-06 21h05.40.537333 +0530,
49,60,89,0,0,0,t,2.928906099870801,None,0,0,0,4,7.876607600133866,,,,,,,,,7.868531200103462,7.876607600133866,8.84508220013231,8.84508220013231,8.878929000347853,11.778961800038815,t,2.928906099870801,None,participant 3,001,2025-11-06_21h05.27.843,delay_discounting,,2025.1.1,59.96656250183688,2025-11-06 21h05.40.537333 +0530,
67,75,119,1,1,0,t,2.526694300118834,None,0,1,1,6,11.810149800032377,,,,,,,,,11.79235290037468,11.810149800032377,12.778501800261438,12.778501800261438,12.811872700229287,15.311107200104743,t,2.526694300118834,None,participant 3,001,2025-11-06_21h05.27.843,delay_discounting,,2025.1.1,59.96656250183688,2025-11-06 21h05.40.537333 +0530,
15,35,13,2,2,0,l,3.6104347999207675,None,0,2,2,1,15.32708950014785,,,,,,,,,15.31657710019499,15.32708950014785,16.311770600266755,16.311770600266755,16.32855650037527,19.92950290022418,l,3.6104347999207675,None,participant 3,001,2025-11-06_21h05.27.843,delay_discounting,,2025.1.1,59.96656250183688,2025-11-06 21h05.40.537333 +0530,
92,110,190,3,3,0,t,1.8487150999717414,None,0,3,3,9,19.960336500313133,,,,,,,,,19.939943000208586,19.960336500313133,20.944483200088143,20.944483200088143,20.961132100317627,22.79404740035534,t,1.8487150999717414,None,participant 3,001,2025-11-06_21h05.27.843,delay_discounting,,2025.1.1,59.96656250183688,2025-11-06 21h05.40.537333 +0530,
40,55,62,4,4,0,t,2.4369475999847054,None,0,4,4,3,22.811043899971992,,,,,,,,,22.79738980019465,22.811043899971992,23.79524080036208,23.79524080036208,23.81192890042439,26.244398300070316,t,2.4369475999847054,None,participant 3,001,2025-11-06_21h05.27.843,delay_discounting,,2025.1.1,59.96656250183688,2025-11-06 21h05.40.537333 +0530,
53,65,101,5,5,0,t,2.2451381999999285,None,0,5,5,5,26.26045519998297,,,,,,,,,26.24930220004171,26.26045519998297,27.2450478002429,27.2450478002429,27.261731100268662,29.495756700169295,t,2.2451381999999285,None,participant 3,001,2025-11-06_21h05.27.843,delay_discounting,,2025.1.1,59.96656250183688,2025-11-06 21h05.40.537333 +0530,
11,30,7,6,6,0,l,2.2403436000458896,None,0,6,6,0,29.511623800266534,,,,,,,,,29.5031716004014,29.511623800266534,30.495151900220662,30.495151900220662,30.5115054002963,32.745390800293535,l,2.2403436000458896,None,participant 3,001,2025-11-06_21h05.27.843,delay_discounting,,2025.1.1,59.96656250183688,2025-11-06 21h05.40.537333 +0530,
78,80,162,7,7,0,t,1.6141443001106381,None,0,7,7,7,32.77696479996666,,,,,,,,,32.75617220019922,32.77696479996666,33.74485510028899,33.74485510028899,33.77793169999495,35.36280720029026,t,1.6141443001106381,None,participant 3,001,2025-11-06_21h05.27.843,delay_discounting,,2025.1.1,59.96656250183688,2025-11-06 21h05.40.537333 +0530,
82,90,175,8,8,0,t,2.029074300080538,None,0,8,8,8,35.378745099995285,,,,,,,,,35.369723400101066,35.378745099995285,36.37775540025905,36.37775540025905,36.37775540025905,38.412447600159794,t,2.029074300080538,None,participant 3,001,2025-11-06_21h05.27.843,delay_discounting,,2025.1.1,59.96656250183688,2025-11-06 21h05.40.537333 +0530,
