thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
11,0,11,[-0.233],[0.047],[1],[0],[0],[1.4673885999945924],['target'],11,0,11,0,19.36638820002554,,,,,,,,,10,19.352619900018908,19.36638820002554,19.36638820002554,0.01720310002565384,20.820123200013768,[-0.233],[0.047],[1],[0],[0],[1.4673885999945924],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
12,0,12,[-0.497],[0.448],[1],[0],[0],[2.3058006000355817],['target'],12,0,12,0,20.84962010005256,,,,,,,,,5,20.830163300037384,20.84962010005256,20.84962010005256,0.00975350005319342,23.136042000027373,[-0.497],[0.448],[1],[0],[0],[2.3058006000355817],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
13,0,13,[0.166],[-0.01],[1],[0],[0],[1.3396253999671899],['target'],13,0,13,0,23.16677960002562,,,,,,,,,5,23.147088500030804,23.16677960002562,23.16677960002562,0.010884300048928708,24.486813900002744,[0.166],[-0.01],[1],[0],[0],[1.3396253999671899],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
14,0,14,[-0.279],[0.177],[1],[0],[0],[1.5458938000374474],['target'],14,0,14,0,24.516023900010623,,,,,,,,,10,24.507105600030627,24.516023900010623,24.516023900010623,0.02011869999114424,26.05308410001453,[-0.279],[0.177],[1],[0],[0],[1.5458938000374474],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
15,0,15,[-0.195],[-0.033],[1],[0],[0],[1.136779899999965],['target'],15,0,15,0,26.082699100021273,,,,,,,,,5,26.06560339999851,26.082699100021273,26.082699100021273,0.012277300003916025,27.202465400041547,[-0.195],[-0.033],[1],[0],[0],[1.136779899999965],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
16,0,16,[-0.164],[0.244],[1],[0],[0],[1.3666343000368215],['target'],16,0,16,0,27.232932600018103,,,,,,,,,10,27.219301200006157,27.232932600018103,27.232932600018103,0.01667230000020936,28.586016300017945,[-0.164],[0.244],[1],[0],[0],[1.3666343000368215],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
17,0,17,[-0.068],[0.435],[1],[0],[0],[1.5563657999737188],['target'],17,0,17,0,28.616160900040995,,,,,,,,,5,28.596860100049525,28.616160900040995,28.616160900040995,0.010631399985868484,30.153375199995935,[-0.068],[0.435],[1],[0],[0],[1.5563657999737188],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
18,0,18,[0.08],[0.357],[1],[0],[0],[1.1400520000024699],['target'],18,0,18,0,30.182787200028542,,,,,,,,,5,30.163333000033163,30.182787200028542,30.182787200028542,0.009680299961473793,31.30348220001906,[0.08],[0.357],[1],[0],[0],[1.1400520000024699],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
19,0,19,[0.114],[0.35],[1],[0],[0],[1.0732901000301354],['target'],19,0,19,0,31.333256500016432,,,,,,,,,5,31.31340690003708,31.333256500016432,31.333256500016432,0.009744199982378632,32.386824000044726,[0.114],[0.35],[1],[0],[0],[1.0732901000301354],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
20,0,20,[0.47],[-0.303],[1],[0],[0],[2.1951516999979503],['target'],20,0,20,0,32.416057499998715,,,,,,,,,10,32.40703790000407,32.416057499998715,32.416057499998715,0.019951599999330938,34.60223850002512,[0.47],[-0.303],[1],[0],[0],[2.1951516999979503],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
21,0,21,[-0.123],[-0.229],[1],[0],[0],[2.340494200005196],['target'],21,0,21,0,34.63297950004926,,,,,,,,,5,34.612112000002526,34.63297950004926,34.63297950004926,0.009716900007333606,36.9526932000299,[-0.123],[-0.229],[1],[0],[0],[2.340494200005196],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
22,0,22,[-0.325],[-0.331],[1],[0],[0],[2.055589900002815],['target'],22,0,22,0,36.98275360005209,,,,,,,,,5,36.96362260001479,36.98275360005209,36.98275360005209,0.010742400016169995,39.01932520000264,[-0.325],[-0.331],[1],[0],[0],[2.055589900002815],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
23,0,23,[0.449],[-0.276],[1],[0],[0],[2.058490300027188],['target'],23,0,23,0,39.09952000004705,,,,,,,,,10,39.0761623000144,39.09952000004705,39.09952000004705,0.056618700036779046,41.134732500009704,[0.449],[-0.276],[1],[0],[0],[2.058490300027188],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
24,0,24,[0.136],[0.2],[1],[0],[0],[1.8825806999811903],['target'],24,0,24,0,41.16616890003206,,,,,,,,,10,41.15289580001263,41.16616890003206,41.16616890003206,0.01797929999884218,43.035578900016844,[0.136],[0.2],[1],[0],[0],[1.8825806999811903],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
25,0,25,[0.349],[-0.353],[1],[0],[0],[2.623717599955853],['target'],25,0,25,0,43.06621380004799,,,,,,,,,5,43.046405900036916,43.06621380004799,43.06621380004799,0.010583899973426014,45.670248200010974,[0.349],[-0.353],[1],[0],[0],[2.623717599955853],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
26,0,26,[0.06],[-0.018],[1],[0],[0],[1.7792277000262402],['target'],26,0,26,0,45.69959850003943,,,,,,,,,10,45.688678100006655,45.69959850003943,45.69959850003943,0.018165100016631186,47.46801850001793,[0.06],[-0.018],[1],[0],[0],[1.7792277000262402],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
27,0,27,[0.312],[0.232],[1],[0],[0],[1.4148247999837622],['target'],27,0,27,0,47.49939540005289,,,,,,,,,10,47.487152500019874,47.49939540005289,47.49939540005289,0.018817000032868236,48.90207290003309,[0.312],[0.232],[1],[0],[0],[1.4148247999837622],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
28,0,28,[-0.408],[0.135],[1],[0],[0],[1.6419058999745175],['target'],28,0,28,0,48.93278430000646,,,,,,,,,5,48.91175520000979,48.93278430000646,48.93278430000646,0.00945120002143085,50.553787200013176,[-0.408],[0.135],[1],[0],[0],[1.6419058999745175],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
29,0,29,[-0.306],[0.221],[1],[0],[0],[1.2798581999959424],['target'],29,0,29,0,50.58289070002502,,,,,,,,,10,50.572678500029724,50.58289070002502,50.58289070002502,0.01867979997768998,51.85261400003219,[-0.306],[0.221],[1],[0],[0],[1.2798581999959424],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
30,0,30,[0.058],[0.077],[1],[0],[0],[1.3585910000256263],['target'],30,0,30,0,51.8832024000003,,,,,,,,,5,51.861507800000254,51.8832024000003,51.8832024000003,0.008680999977514148,53.22018860001117,[0.058],[0.077],[1],[0],[0],[1.3585910000256263],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
31,0,31,[0.393],[-0.028],[1],[0],[0],[1.1701916999882087],['target'],31,0,31,0,53.24934480001684,,,,,,,,,5,53.230418400024064,53.24934480001684,53.24934480001684,0.010087100032251328,54.40066000004299,[0.393],[-0.028],[1],[0],[0],[1.1701916999882087],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
32,0,32,[0.337],[-0.051],[1],[0],[0],[1.5475485000060871],['target'],32,0,32,0,54.43257280002581,,,,,,,,,10,54.42169139999896,54.43257280002581,54.43257280002581,0.02094860002398491,55.96933790005278,[0.337],[-0.051],[1],[0],[0],[1.5475485000060871],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
33,0,33,[0.038],[-0.086],[1],[0],[0],[1.1574131000088528],['target'],33,0,33,0,55.99931760004256,,,,,,,,,5,55.979386000020895,55.99931760004256,55.99931760004256,0.00981560000218451,57.136902300000656,[0.038],[-0.086],[1],[0],[0],[1.1574131000088528],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
