condition,cue_x,cue_y,target_x,target_y,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,key_resp.keys,key_resp.rt,key_resp.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,practice.started,fixation_2.started,Left_rect_2.started,Right_rect_2.started,cue_2.started,cue_2.stopped,target_2.started,key_resp_3.started,practice.stopped,trials_2.key_resp_3.keys,trials_2.key_resp_3.rt,trials_2.key_resp_3.duration,fixation_2.stopped,Left_rect_2.stopped,Right_rect_2.stopped,target_2.stopped,key_resp_3.stopped,instructions_2.started,text_3.started,key_resp_4.started,instructions_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,fixation.started,Left_rect.started,Right_rect.started,cue.started,cue.stopped,target.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,blank.started,text_2.started,text_2.stopped,blank.stopped,fixation.stopped,Left_rect.stopped,Right_rect.stopped,target.stopped,key_resp.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
valid,-0.168,-0.175,-0.168,-0.149,90,18,2,,,,up,0.3775276,None,,,,,2,18,90,5,259.9048392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.8888983,259.9048392,260.8884986,260.8884986,260.8884986,260.9886172,261.1884443,261.1884443,261.5725809,up,0.3775276,None,261.5727041,261.5885131,262.0882025,262.0715029,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,0.168,-0.175,0.168,-0.149,91,19,2,,,,up,0.2898507,None,,,,,2,19,91,11,262.0882025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.071929,262.0882025,263.0716798,263.0716798,263.0716798,263.1718025,263.3884922,263.3884922,263.6892119,up,0.2898507,None,263.6893188,263.7048744,264.2050732,264.1887212,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
invalid_diff,0.168,0.175,-0.168,0.149,92,20,2,,,,up,0.3134128,None,,,,,2,20,92,30,264.2050732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.1894145,264.2050732,265.1885829,265.1885829,265.1885829,265.2886102,265.4886595,265.4886595,265.8056882,up,0.3134128,None,265.8057999,265.8217298,266.321688,266.3054105,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
invalid_diff,-0.168,0.175,0.168,0.149,93,21,2,,,,up,0.3687853,None,,,,,2,21,93,28,266.321688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.3061205,266.321688,267.3051366,267.3051366,267.3051366,267.405139,267.6051051,267.6051051,267.9892387,up,0.3687853,None,267.9893474,268.0050104,268.5051598,268.488687,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
invalid_same,0.168,-0.175,0.168,0.149,94,22,2,,,,up,0.3708327,None,,,,,2,22,94,27,268.5051598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.4893733,268.5051598,269.4885657,269.4885657,269.4885657,269.588568,269.7886083,269.7886083,270.1718462,up,0.3708327,None,270.1718913,270.1881201,270.6885469,270.6718096,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,-0.168,0.175,-0.168,0.149,95,23,2,,,,up,0.4370506,None,,,,,2,23,95,16,270.6885469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.6725029,270.6885469,271.6717119,271.6717119,271.6717119,271.7717539,271.9718163,271.9718163,272.4223081,up,0.4370506,None,272.422411,272.4384457,272.938465,272.921659,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,-0.168,0.175,-0.168,0.149,96,24,2,,,,up,0.311555,None,,,,,2,24,96,20,272.938465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.9223238,272.938465,273.9215601,273.9215601,273.9215601,274.0215886,274.2217363,274.2217363,274.5390331,up,0.311555,None,274.5391484,274.5551035,275.0551327,275.0387243,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,0.168,-0.175,0.168,-0.149,97,25,2,,,,up,0.3703482,None,,,,,2,25,97,23,275.0551327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.0394169,275.0551327,276.0548124,276.0548124,276.0548124,276.1550741,276.3385939,276.3385939,276.722289,up,0.3703482,None,276.7223994,276.7383528,277.2382317,277.2218877,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,-0.168,0.175,-0.168,0.149,98,26,2,,,,up,0.2662883,None,,,,,2,26,98,4,277.2382317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.2225708,277.2382317,278.2215819,278.2215819,278.2215819,278.3216767,278.5217108,278.5217108,278.7889391,up,0.2662883,None,278.7890517,278.8051053,279.3051397,279.288695,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,-0.168,0.175,-0.168,0.149,99,27,2,,,,up,0.3024751,None,,,,,2,27,99,0,279.3051397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.2893814,279.3051397,280.2882649,280.2882649,280.2882649,280.3884368,280.5885287,280.5885287,280.9058208,up,0.3024751,None,280.9059298,280.9216005,281.421586,281.4050062,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
invalid_same,0.168,0.175,0.168,-0.149,100,28,2,,,,up,0.3015528,None,,,,,2,28,100,26,281.421586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.4055989,281.421586,282.4216762,282.4216762,282.4216762,282.5216936,282.705173,282.705173,283.0223412,up,0.3015528,None,283.0224421,283.0383156,283.5382251,283.5217675,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
invalid_diff,-0.168,-0.175,0.168,-0.149,101,29,2,,,,up,0.3674459,None,,,,,2,29,101,29,283.5382251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.5224341,283.5382251,284.52171,284.52171,284.52171,284.6216605,284.8217195,284.8217195,285.2057077,up,0.3674459,None,285.2058176,285.2216073,285.7215988,285.7053603,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,-0.168,-0.175,-0.168,-0.149,102,30,2,,,,up,0.3270068,None,,,,,2,30,102,1,285.7215988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.7061017,285.7215988,286.7052225,286.7052225,286.7052225,286.8048187,287.0216927,287.0216927,287.3554564,up,0.3270068,None,287.3555319,287.3714299,287.871568,287.8553485,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,-0.168,0.175,-0.168,0.149,103,31,2,,,,up,0.3204826,None,,,,,2,31,103,12,287.871568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.8560363,287.871568,288.8550527,288.8550527,288.8550527,288.9551825,289.1550634,289.1550634,289.4890617,up,0.3204826,None,289.4891722,289.5049459,290.00497,289.9887461,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,-0.168,0.175,-0.168,0.149,104,32,2,,,,up,0.2838274,None,,,,,2,32,104,8,290.00497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.9894633,290.00497,290.9884121,290.9884121,290.9884121,291.0883821,291.2882877,291.2882877,291.5890515,up,0.2838274,None,291.589161,291.6049774,292.1049639,292.0886791,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,0.168,0.175,0.168,0.149,105,33,2,,,,up,0.3204072,None,,,,,2,33,105,2,292.1049639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.0893733,292.1049639,293.0884782,293.0884782,293.0884782,293.1881268,293.3885129,293.3885129,293.7222956,up,0.3204072,None,293.7224068,293.7383884,294.2381148,294.2219944,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,0.168,0.175,0.168,0.149,106,34,2,,,,up,0.2632508,None,,,,,2,34,106,22,294.2381148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.2226953,294.2381148,295.2216516,295.2216516,295.2216516,295.3216079,295.5216879,295.5216879,295.7889571,up,0.2632508,None,295.7890593,295.8048009,296.3049652,296.2886464,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
catch,0.168,-0.175,None,None,107,35,2,,,,None,,,,,,,2,35,107,35,296.3049652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.2895325,296.3049652,297.2883966,297.2883966,297.2883966,297.3883561,297.5884762,297.5884762,299.572362,None,,,299.572445,299.5880394,300.0883312,300.0716534,299.5880394,299.5880394,299.5880394,299.5880394,299.5880394,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
invalid_diff,-0.168,0.175,0.168,0.149,108,0,3,,,,up,0.4113392,None,,,,,3,0,108,28,300.0883312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0723304,300.1050643,301.0883979,301.0883979,301.0883979,301.1883461,301.3884623,301.3884623,301.8057302,up,0.4113392,None,301.8058398,301.8215637,302.3215101,302.3052475,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
invalid_same,0.168,-0.175,0.168,0.149,109,1,3,,,,up,0.303361,None,,,,,3,1,109,27,302.3215101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.3059364,302.3215101,303.3050272,303.3050272,303.3050272,303.40495,303.6213128,303.6213128,303.9385349,up,0.303361,None,303.9386072,303.95454,304.4549801,304.4385521,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,-0.168,-0.175,-0.168,-0.149,110,2,3,,,,up,0.2811599,None,,,,,3,2,110,1,304.4549801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.4391493,304.4549801,305.4383222,305.4383222,305.4383222,305.5383377,305.7383727,305.7383727,306.0226383,up,0.2811599,None,306.0227714,306.0380378,306.5380638,306.5218434,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,0.168,0.175,0.168,0.149,111,3,3,,,,up,0.2589846,None,,,,,3,3,111,2,306.5380638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.5225434,306.5380638,307.5382654,307.5382654,307.5382654,307.6383376,307.83827,307.83827,308.1056834,up,0.2589846,None,308.1057939,308.1214784,308.6215195,308.6053008,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,-0.168,0.175,-0.168,0.149,112,4,3,,,,up,0.2963629,None,,,,,3,4,112,4,308.6215195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.6060062,308.6215195,309.6213114,309.6213114,309.6213114,309.7213467,309.9050428,309.9050428,310.2054669,up,0.2963629,None,310.2055783,310.2215571,310.7214732,310.7053082,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,-0.168,-0.175,-0.168,-0.149,113,5,3,,,,up,0.3059305,None,,,,,3,5,113,5,310.7214732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.7060706,310.7214732,311.704945,311.704945,311.704945,311.8049703,312.0050232,312.0050232,312.3222184,up,0.3059305,None,312.3223267,312.3382995,312.838281,312.8218231,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,0.168,-0.175,0.168,-0.149,114,6,3,,,,up,0.2867086,None,,,,,3,6,114,19,312.838281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.8225103,312.838281,313.8215252,313.8215252,313.8215252,313.9214513,314.121596,314.121596,314.4221002,up,0.2867086,None,314.4222091,314.4382295,314.9379179,314.9213905,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,0.168,-0.175,0.168,-0.149,115,7,3,,,,up,0.2732606,None,,,,,3,7,115,3,314.9379179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.9218803,314.9379179,315.9213798,315.9213798,315.9213798,316.0215534,316.2215827,316.2215827,316.5056617,up,0.2732606,None,316.5057695,316.5214705,317.0214831,317.0052036,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
catch,0.168,-0.175,None,None,116,8,3,,,,None,,,,,,,3,8,116,35,317.0214831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.0060787,317.0214831,318.0049611,318.0049611,318.0049611,318.1050581,318.3049976,318.3049976,320.2885541,None,,,320.2886037,320.3045192,320.8045701,320.7883052,320.3045192,320.3045192,320.3045192,320.3045192,320.3045192,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
invalid_diff,-0.168,-0.175,0.168,-0.149,117,9,3,,,,up,0.3393343,None,,,,,3,9,117,29,320.8045701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.7889364,320.8211629,321.8048939,321.8048939,321.8048939,321.9047518,322.1049816,322.1049816,322.4555695,up,0.3393343,None,322.4556795,322.4715287,322.9714962,322.9551887,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,-0.168,0.175,-0.168,0.149,118,10,3,,,,up,0.340389,None,,,,,3,10,118,8,322.9714962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.9558772,322.9714962,323.9550532,323.9550532,323.9550532,324.0549186,324.2549972,324.2549972,324.6056323,up,0.340389,None,324.6057436,324.6214657,325.1215405,325.1051814,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,0.168,0.175,0.168,0.149,119,11,3,,,,up,0.3352096,None,,,,,3,11,119,18,325.1215405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.10587,325.1215405,326.1049826,326.1049826,326.1049826,326.2047399,326.4213217,326.4213217,326.7721099,up,0.3352096,None,326.7722212,326.7880054,327.2880492,327.2713628,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,-0.168,0.175,-0.168,0.149,120,12,3,,,,up,0.3535919,None,,,,,3,12,120,16,327.2880492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.2717842,327.2880492,328.2715109,328.2715109,328.2715109,328.3714697,328.5714173,328.5714173,328.9388441,up,0.3535919,None,328.9389459,328.954916,329.4548664,329.4385841,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,0.168,0.175,0.168,0.149,121,13,3,,,,up,0.3064704,None,,,,,3,13,121,22,329.4548664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.4392818,329.4548664,330.4382275,330.4382275,330.4382275,330.5381122,330.7382984,330.7382984,331.0556693,up,0.3064704,None,331.0557859,331.0711657,331.5711319,331.5546328,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,-0.168,-0.175,-0.168,-0.149,122,14,3,,,,up,0.3310805,None,,,,,3,14,122,17,331.5711319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.5550282,331.5711319,332.5550082,332.5550082,332.5550082,332.6548896,332.8549864,332.8549864,333.1888851,up,0.3310805,None,333.1889947,333.2048281,333.704864,333.6884693,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,-0.168,0.175,-0.168,0.149,123,15,3,,,,up,0.3101163,None,,,,,3,15,123,12,333.704864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.6891218,333.704864,334.6882719,334.6882719,334.6882719,334.788244,334.9882481,334.9882481,335.3055482,up,0.3101163,None,335.3056578,335.321186,335.82133,335.8050771,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,0.168,-0.175,0.168,-0.149,124,16,3,,,,up,0.3216452,None,,,,,3,16,124,23,335.82133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.805839,335.82133,336.8043686,336.8043686,336.8043686,336.9045843,337.1211981,337.1211981,337.4552099,up,0.3216452,None,337.4552947,337.4710475,337.9715077,337.9552537,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,0.168,-0.175,0.168,-0.149,125,17,3,,,,up,0.3145742,None,,,,,3,17,125,11,337.9715077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.9559439,337.9715077,338.9548947,338.9548947,338.9548947,339.0548886,339.2548964,339.2548964,339.5721527,up,0.3145742,None,339.5722663,339.5880671,340.0881443,340.0718195,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,-0.168,-0.175,-0.168,-0.149,126,18,3,,,,up,0.3135952,None,,,,,3,18,126,13,340.0881443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.072515,340.0881443,341.0714654,341.0714654,341.0714654,341.1715469,341.3715034,341.3715034,341.6887647,up,0.3135952,None,341.6888767,341.7048626,342.2048401,342.1883993,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,-0.168,-0.175,-0.168,-0.149,127,19,3,,,,up,0.2762935,None,,,,,3,19,127,9,342.2048401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.189113,342.2048401,343.2045897,343.2045897,343.2045897,343.3044893,343.4883094,343.4883094,343.772151,up,0.2762935,None,343.7722521,343.7880927,344.2881269,344.2717966,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
catch,0.168,0.175,None,None,128,20,3,,,,None,,,,,,,3,20,128,34,344.2881269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.2726707,344.2881269,345.2712959,345.2712959,345.2712959,345.3713801,345.5714217,345.5714217,347.5551904,None,,,347.5555639,347.5712404,348.0712883,348.0550699,347.5712404,347.5712404,347.5712404,347.5712404,347.5712404,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,-0.168,0.175,-0.168,0.149,129,21,3,,,,up,0.2865789,None,,,,,3,21,129,20,348.0712883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.0557445,348.0712883,349.071539,349.071539,349.071539,349.1713129,349.3713807,349.3713807,349.6722032,up,0.2865789,None,349.6723132,349.6881709,350.1881367,350.1718447,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,0.168,0.175,0.168,0.149,130,22,3,,,,up,0.3233726,None,,,,,3,22,130,14,350.1881367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.1725416,350.1881367,351.171584,351.171584,351.171584,351.2713644,351.4714264,351.4714264,351.8054581,up,0.3233726,None,351.8055698,351.8213104,352.3213611,352.3050598,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
invalid_diff,0.168,0.175,-0.168,0.149,131,23,3,,,,up,0.373327,None,,,,,3,23,131,30,352.3213611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.3058129,352.3213611,353.3047436,353.3047436,353.3047436,353.4048062,353.6049758,353.6049758,353.9886875,up,0.373327,None,353.9887284,354.0043291,354.5045218,354.4881824,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
invalid_diff,0.168,-0.175,-0.168,-0.149,132,24,3,,,,up,0.3752744,None,,,,,3,24,132,31,354.5045218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.4887894,354.5045218,355.4881469,355.4881469,355.4881469,355.5881555,355.788222,355.788222,356.1721312,up,0.3752744,None,356.1722341,356.1880787,356.6880866,356.6717565,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,0.168,-0.175,0.168,-0.149,133,25,3,,,,up,0.3014678,None,,,,,3,25,133,15,356.6880866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.6724517,356.6880866,357.6714887,357.6714887,357.6714887,357.7714905,357.9713976,357.9713976,358.2888326,up,0.3014678,None,358.2889446,358.3046809,358.8047583,358.7883112,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
invalid_same,0.168,0.175,0.168,-0.149,134,26,3,,,,up,0.3502708,None,,,,,3,26,134,26,358.8047583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.789042,358.8047583,359.8045522,359.8045522,359.8045522,359.9047011,360.1044317,360.1044317,360.4553527,up,0.3502708,None,360.4554624,360.4712068,360.9714222,360.9550588,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
catch,-0.168,0.175,None,None,135,27,3,,,,None,,,,,,,3,27,135,32,360.9714222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.9559339,360.9714222,361.9549164,361.9549164,361.9549164,362.0547962,362.2548362,362.2548362,364.238648,None,,,364.2387318,364.2546693,364.7548604,364.738362,364.2546693,364.2546693,364.2546693,364.2546693,364.2546693,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,-0.168,-0.175,-0.168,-0.149,136,28,3,,,,up,0.3075184,None,,,,,3,28,136,21,364.7548604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.7394246,364.7548604,365.7545805,365.7545805,365.7545805,365.8547726,366.05493,366.05493,366.3719079,up,0.3075184,None,366.3720114,366.3880267,366.8880338,366.8717052,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,0.168,-0.175,0.168,-0.149,137,29,3,,,,up,0.3001916,None,,,,,3,29,137,7,366.8880338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.8723906,366.8880338,367.8712536,367.8712536,367.8712536,367.9714917,368.171512,368.171512,368.488832,up,0.3001916,None,368.4889494,368.5048031,369.0048371,368.9885177,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,-0.168,0.175,-0.168,0.149,138,30,3,,,,up,0.29285,None,,,,,3,30,138,0,369.0048371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.9892068,369.0048371,369.988143,369.988143,369.988143,370.0882117,370.2881523,370.2881523,370.5887522,up,0.29285,None,370.588862,370.6047629,371.1046706,371.0883645,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,0.168,0.175,0.168,0.149,139,31,3,,,,up,0.3112083,None,,,,,3,31,139,10,371.1046706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.0890482,371.1046706,372.0880991,372.0880991,372.0880991,372.1881006,372.3880904,372.3880904,372.7053458,up,0.3112083,None,372.7054533,372.7211978,373.2213952,373.2051182,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
invalid_same,-0.168,0.175,-0.168,-0.149,140,32,3,,,,up,0.2954776,None,,,,,3,32,140,24,373.2213952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.2057977,373.2213952,374.2048612,374.2048612,374.2048612,374.3048846,374.5046487,374.5046487,374.8054888,up,0.2954776,None,374.8055912,374.821218,375.3213802,375.3050799,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
invalid_same,-0.168,-0.175,-0.168,0.149,141,33,3,,,,up,0.3162596,None,,,,,3,33,141,25,375.3213802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.305817,375.3213802,376.3045996,376.3045996,376.3045996,376.4048586,376.6209493,376.6209493,376.9381658,up,0.3162596,None,376.9382298,376.9544107,,377.4383235,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,0.168,0.175,0.168,0.149,142,34,3,,,,up,0.3485482,None,,,,,3,34,142,6,377.4547489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.4390798,377.4547489,378.4379973,378.4379973,378.4379973,378.5378301,378.7381213,378.7381213,379.0887234,up,0.3485482,None,379.0888345,379.1044855,379.604589,379.588222,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
catch,-0.168,-0.175,None,None,143,35,3,,,,None,,,,,,,3,35,143,33,379.604589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.5891049,379.604589,380.5881734,380.5881734,380.5881734,380.6881975,380.8882423,380.8882423,382.8717732,None,,,382.8718581,382.8878633,383.3879081,383.371364,382.8878633,382.8878633,382.8878633,382.8878633,382.8878633,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,-0.168,0.175,-0.168,0.149,144,0,4,,,,up,0.3411288,None,,,,,4,0,144,4,383.3879081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.3719688,383.4046491,384.3880783,384.3880783,384.3880783,384.4881749,384.6881069,384.6881069,385.0386562,up,0.3411288,None,385.0387587,385.0544467,385.5547677,385.5381901,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
