condition,cue_x,cue_y,target_x,target_y,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,key_resp.keys,key_resp.rt,key_resp.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,practice.started,fixation_2.started,Left_rect_2.started,Right_rect_2.started,cue_2.started,cue_2.stopped,target_2.started,key_resp_3.started,practice.stopped,trials_2.key_resp_3.keys,trials_2.key_resp_3.rt,trials_2.key_resp_3.duration,fixation_2.stopped,Left_rect_2.stopped,Right_rect_2.stopped,target_2.stopped,key_resp_3.stopped,instructions_2.started,text_3.started,key_resp_4.started,instructions_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,fixation.started,Left_rect.started,Right_rect.started,cue.started,cue.stopped,target.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,blank.started,text_2.started,text_2.stopped,blank.stopped,fixation.stopped,Left_rect.stopped,Right_rect.stopped,target.stopped,key_resp.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,0.002786400029435754,0.007745700015220791,0.007745700015220791,3.5025447999942116,space,3.4852448999881744,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-11-24_20h51.07.825,solo_project,,2025.1.1,59.89666626548843,2025-11-24 20h51.14.220106 +0530,
invalid_diff,-0.168,-0.175,0.168,-0.149,0,0,0,up,0.5689206999959424,None,,,,0,0,0,7,,,,,3.513738800014835,,,,,,,,,3.5091661000042222,3.513738800014835,3.513738800014835,3.513738800014835,4.512060899985954,4.612262099981308,4.812476099992637,4.812476099992637,5.396328700007871,up,0.5689206999959424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-11-24_20h51.07.825,solo_project,,2025.1.1,59.89666626548843,2025-11-24 20h51.14.220106 +0530,
valid,-0.168,0.175,-0.168,0.149,1,1,0,up,0.7825088999816217,None,,,,0,1,1,0,,,,,5.412371899990831,,,,,,,,,5.396975799987558,5.412371899990831,5.412371899990831,5.412371899990831,6.395798899990041,6.495725299988408,6.695531999983359,6.695531999983359,7.479496999992989,up,0.7825088999816217,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-11-24_20h51.07.825,solo_project,,2025.1.1,59.89666626548843,2025-11-24 20h51.14.220106 +0530,
invalid_same,-0.168,0.175,-0.168,-0.149,2,2,0,up,0.7690389999770559,None,,,,0,2,2,4,,,,,7.495660900021903,,,,,,,,,7.480062999995425,7.495660900021903,7.495660900021903,7.495660900021903,8.478950600023381,8.578910999989603,8.778949400002602,8.778949400002602,9.562875500007067,up,0.7690389999770559,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-11-24_20h51.07.825,solo_project,,2025.1.1,59.89666626548843,2025-11-24 20h51.14.220106 +0530,
valid,0.168,-0.175,0.168,-0.149,3,3,0,up,0.5295310000074096,None,,,,0,3,3,3,,,,,9.57887440000195,,,,,,,,,9.563539099995978,9.57887440000195,9.57887440000195,9.57887440000195,10.562146799988113,10.662325599987525,10.862276700034272,10.862276700034272,11.39605969999684,up,0.5295310000074096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-11-24_20h51.07.825,solo_project,,2025.1.1,59.89666626548843,2025-11-24 20h51.14.220106 +0530,
valid,-0.168,-0.175,-0.168,-0.149,4,4,0,up,0.714663099963218,None,,,,0,4,4,1,,,,,11.41218059998937,,,,,,,,,11.396625599998515,11.41218059998937,11.41218059998937,11.41218059998937,12.395781600032933,12.495794599992223,12.69582140003331,12.69582140003331,13.412477799982298,up,0.714663099963218,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-11-24_20h51.07.825,solo_project,,2025.1.1,59.89666626548843,2025-11-24 20h51.14.220106 +0530,
invalid_diff,-0.168,0.175,0.168,0.149,5,5,0,up,0.5712697000126354,None,,,,0,5,5,6,,,,,13.42847799998708,,,,,,,,,13.412748700007796,13.42847799998708,13.42847799998708,13.42847799998708,14.412290300009772,14.51223089999985,14.712142600037623,14.712142600037623,15.296312700025737,up,0.5712697000126354,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-11-24_20h51.07.825,solo_project,,2025.1.1,59.89666626548843,2025-11-24 20h51.14.220106 +0530,
catch,-0.168,0.175,None,None,6,6,0,None,,,,,,0,6,6,8,,,,,15.312128700024914,,,,,,,,,15.297103299992159,15.312128700024914,15.312128700024914,15.312128700024914,16.29565059999004,16.395610600011423,16.5958149000071,16.5958149000071,18.579112700012047,None,,,18.5955554000102,18.5955554000102,18.5955554000102,18.5955554000102,18.5955554000102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-11-24_20h51.07.825,solo_project,,2025.1.1,59.89666626548843,2025-11-24 20h51.14.220106 +0530,
catch,-0.168,-0.175,None,None,7,7,0,None,,,,,,0,7,7,9,,,,,18.5955554000102,,,,,,,,,18.579576799995266,18.5955554000102,18.5955554000102,18.5955554000102,19.595760600001086,19.69531789998291,19.895484499982558,19.895484499982558,21.879408799984958,None,,,21.89553690003231,21.89553690003231,21.89553690003231,21.89553690003231,21.89553690003231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-11-24_20h51.07.825,solo_project,,2025.1.1,59.89666626548843,2025-11-24 20h51.14.220106 +0530,
invalid_same,-0.168,-0.175,-0.168,0.149,8,8,0,up,0.4227466000011191,None,,,,0,8,8,5,,,,,21.89553690003231,,,,,,,,,21.88008540001465,21.89553690003231,21.89553690003231,21.89553690003231,22.895547799998894,22.99538630002644,23.195561800035648,23.195561800035648,23.629489900020417,up,0.4227466000011191,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,001,2025-11-24_20h51.07.825,solo_project,,2025.1.1,59.89666626548843,2025-11-24 20h51.14.220106 +0530,
