reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
15,35,13,34,4,3,t,1.2333027999848127,None,3,4,34,1,152.76549859996885,,152.75503670005128,152.76549859996885,153.74925450002775,153.74925450002775,153.7662692000158,154.9830789999105,t,1.2333027999848127,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
11,30,7,35,5,3,l,1.3308802000246942,None,3,5,35,0,154.99804960004985,,154.98800399992615,154.99804960004985,155.98285300005227,155.98285300005227,155.99955939967185,157.31668759975582,l,1.3308802000246942,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
49,60,89,36,6,3,t,2.2015132000669837,None,3,6,36,4,157.33144319988787,,157.32181289978325,157.33144319988787,158.31577380001545,158.31577380001545,158.33274440001696,160.53298719972372,t,2.2015132000669837,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
40,55,62,37,7,3,t,2.541401300113648,None,3,7,37,3,160.54816269967705,,160.5377160999924,160.54816269967705,161.53229709994048,161.53229709994048,161.54930889979005,164.08295439975336,t,2.541401300113648,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
78,80,162,38,8,3,t,0.9804131998680532,None,3,8,38,7,164.09893439989537,,164.08791689993814,164.09893439989537,165.0982698998414,165.0982698998414,165.0982698998414,166.08347219973803,t,0.9804131998680532,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
53,65,101,39,9,3,t,1.4837879999540746,None,3,9,39,5,166.09831169992685,,166.0884576998651,166.09831169992685,167.08244889974594,167.08244889974594,167.09927689982578,168.5828895000741,t,1.4837879999540746,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
49,60,89,40,0,4,t,0.8616013000719249,None,4,0,40,4,168.59895069990307,,168.58709179982543,168.59895069990307,169.58139179972932,169.58139179972932,169.59815520001575,170.44805980008096,t,0.8616013000719249,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
53,65,101,41,1,4,t,1.0821714997291565,None,4,1,41,5,170.4647915000096,,170.4501821999438,170.4647915000096,171.44915589969605,171.44915589969605,171.46588560007513,172.53352679964155,t,1.0821714997291565,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
67,75,119,42,2,4,t,1.2914126999676228,None,4,2,42,6,172.54811370000243,,172.53893369995058,172.54811370000243,173.54921180009842,173.54921180009842,173.54921180009842,174.84970639972016,t,1.2914126999676228,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
78,80,162,43,3,4,t,1.2808958999812603,None,4,3,43,7,174.8650811999105,,174.8551400997676,174.8650811999105,175.86458759987727,175.86458759987727,175.86458759987727,177.1499775000848,t,1.2808958999812603,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
92,110,190,44,4,4,t,1.3716496997512877,None,4,4,44,9,177.1647202000022,,177.15609110007063,177.1647202000022,178.14942539995536,178.14942539995536,178.165774599649,179.53308489965275,t,1.3716496997512877,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
40,55,62,45,5,4,t,1.9814677997492254,None,4,5,45,3,179.54783919965848,,179.53758020000532,179.54783919965848,180.5322747998871,180.5322747998871,180.5490733999759,182.51589810010046,t,1.9814677997492254,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
27,50,21,46,6,4,l,2.7996775996871293,None,4,6,46,2,182.53121359972283,,182.52032179990783,182.53121359972283,183.51573430001736,183.51573430001736,183.5317794997245,186.3167641996406,l,2.7996775996871293,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
15,35,13,47,7,4,l,2.200218299869448,None,4,7,47,1,186.33228540001437,,186.32236939994618,186.33228540001437,187.31601789966226,187.31601789966226,187.3326707999222,189.51863359985873,l,2.200218299869448,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
11,30,7,48,8,4,l,2.562958300113678,None,4,8,48,0,189.53124459972605,,189.52233739988878,189.53124459972605,190.5325170001015,190.5325170001015,190.5325170001015,193.09967730008066,l,2.562958300113678,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
82,90,175,49,9,4,t,1.2131222998723388,None,4,9,49,8,193.11545799998567,,193.10518429987133,193.11545799998567,194.09921059990302,194.09921059990302,194.11575469980016,195.31644780002534,t,1.2131222998723388,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
15,35,13,50,0,5,l,3.365661900024861,None,5,0,50,1,195.33123259991407,,195.3219844000414,195.33123259991407,196.3160834000446,196.3160834000446,196.33267269982025,199.6828578999266,l,3.365661900024861,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
92,110,190,51,1,5,t,1.402029300108552,None,5,1,51,9,199.69784269994125,,199.68796959985048,199.69784269994125,200.69767319969833,200.69767319969833,200.69767319969833,202.11498950002715,t,1.402029300108552,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
40,55,62,52,2,5,t,0.8736184001900256,None,5,2,52,3,202.1321058999747,,202.1184167000465,202.1321058999747,203.1148231998086,203.1148231998086,203.13204629998654,203.99916279967874,t,0.8736184001900256,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
67,75,119,53,3,5,t,0.871484600007534,None,5,3,53,6,204.01499809976667,,204.00267469976097,204.01499809976667,204.99820740008727,204.99820740008727,205.0145477997139,205.8827072000131,t,0.871484600007534,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
