reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text_2.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.002965399995446205,0.00908209988847375,0.00908209988847375,12.473966700024903,space,12.445497100241482,None,,,,,,,,,,participant 2,001,2025-11-06_20h52.42.299,delay_discounting,,2025.1.1,59.98256908631936,2025-11-06 20h52.51.852151 +0530,
67,75,119,0,0,0,t,17.7746758996509,None,0,0,0,6,12.513999700080603,,,,,,,,,12.509204499889165,12.513999700080603,13.475237400270998,13.475237400270998,13.525270299986005,31.259613700211048,t,17.7746758996509,None,participant 2,001,2025-11-06_20h52.42.299,delay_discounting,,2025.1.1,59.98256908631936,2025-11-06 20h52.51.852151 +0530,
92,110,190,1,1,0,t,10.797099700197577,None,0,1,1,9,31.278576199896634,,,,,,,,,31.274544599931687,31.278576199896634,32.275572900194675,32.275572900194675,32.2920579998754,43.07597259990871,t,10.797099700197577,None,participant 2,001,2025-11-06_20h52.42.299,delay_discounting,,2025.1.1,59.98256908631936,2025-11-06 20h52.51.852151 +0530,
78,80,162,2,2,0,t,16.539561399724334,None,0,2,2,7,43.09305950021371,,,,,,,,,43.08893320010975,43.09305950021371,44.07567940000445,44.07567940000445,44.092047499958426,60.6260283999145,t,16.539561399724334,None,participant 2,001,2025-11-06_20h52.42.299,delay_discounting,,2025.1.1,59.98256908631936,2025-11-06 20h52.51.852151 +0530,
11,30,7,3,3,0,l,9.322010099887848,None,0,3,3,0,60.6434527002275,,,,,,,,,60.63914550002664,60.6434527002275,61.64159290026873,61.64159290026873,61.6583475000225,70.97606329992414,l,9.322010099887848,None,participant 2,001,2025-11-06_20h52.42.299,delay_discounting,,2025.1.1,59.98256908631936,2025-11-06 20h52.51.852151 +0530,
53,65,101,4,4,0,l,10.245115200057626,None,0,4,4,5,70.9918448003009,,,,,,,,,70.98563229991123,70.9918448003009,71.97531350003555,71.97531350003555,71.99176019988954,82.22594409994781,l,10.245115200057626,None,participant 2,001,2025-11-06_20h52.42.299,delay_discounting,,2025.1.1,59.98256908631936,2025-11-06 20h52.51.852151 +0530,
40,55,62,5,5,0,t,9.463213599752635,None,0,5,5,3,82.24210710031912,,,,,,,,,82.23838349990547,82.24210710031912,83.22531030001119,83.22531030001119,83.241778800264,92.69248050032184,t,9.463213599752635,None,participant 2,001,2025-11-06_20h52.42.299,delay_discounting,,2025.1.1,59.98256908631936,2025-11-06 20h52.51.852151 +0530,
27,50,21,6,6,0,t,17.608623899985105,None,0,6,6,2,92.70840670028701,,,,,,,,,92.70314580015838,92.70840670028701,93.69178210012615,93.69178210012615,93.70851710019633,111.30843139998615,t,17.608623899985105,None,participant 2,001,2025-11-06_20h52.42.299,delay_discounting,,2025.1.1,59.98256908631936,2025-11-06 20h52.51.852151 +0530,
49,60,89,7,7,0,t,9.241670500021428,None,0,7,7,4,111.32460279995576,,,,,,,,,111.31322260014713,111.32460279995576,112.30848040012643,112.30848040012643,112.32513089990243,121.55921570025384,t,9.241670500021428,None,participant 2,001,2025-11-06_20h52.42.299,delay_discounting,,2025.1.1,59.98256908631936,2025-11-06 20h52.51.852151 +0530,
82,90,175,8,8,0,t,2.874748600181192,None,0,8,8,8,121.57481219992042,,,,,,,,,121.56872930005193,121.57481219992042,122.57486290019006,122.57486290019006,122.57486290019006,125.45898870006204,t,2.874748600181192,None,participant 2,001,2025-11-06_20h52.42.299,delay_discounting,,2025.1.1,59.98256908631936,2025-11-06 20h52.51.852151 +0530,
